Qual foi o principal motivo da Revolução Industrial?;Expansão agrícola;Crescimento populacional;Avanços tecnológicos;Colonialismo;C;Avanços tecnológicos;A Revolução Industrial foi impulsionada pelos avanços tecnológicos, como a máquina a vapor.
Quem foi responsável pela unificação italiana?;Mussolini;Garibaldi;Bismarck;Napoleão;B;Garibaldi;Giuseppe Garibaldi foi uma figura-chave na unificação italiana no século XIX.
Qual tratado encerrou a Primeira Guerra Mundial?;Tratado de Paris;Tratado de Tordesilhas;Tratado de Versalhes;Tratado de Viena;C;Tratado de Versalhes;O Tratado de Versalhes foi assinado em 1919; encerrando a Primeira Guerra Mundial.
O que foi a Guerra Fria?;Guerra entre EUA e URSS;Conflito ideológico;Revolta europeia;Colonialismo africano;B;Conflito ideológico;A Guerra Fria foi um conflito ideológico entre EUA e URSS após a Segunda Guerra Mundial.
Quem foi o último imperador do Brasil?;Dom Pedro I;Dom João VI;Dom Pedro II;Getúlio Vargas;C;Dom Pedro II;Dom Pedro II foi o último imperador do Brasil; deposto em 1889.
O que é uma caldeira vulcânica?;Fenda geológica;Cavidade no topo de vulcões;Aglomeração rochosa;Fonte de magma;B;Cavidade no topo de vulcões;Caldeira vulcânica é uma grande cavidade formada após erupções.
Qual é o maior rio em volume de água do mundo?;Rio Nilo;Rio Amazonas;Rio Yangtzé;Rio Mississipi;B;Rio Amazonas;O Rio Amazonas é o maior do mundo em volume de água.
O que são placas tectônicas?;Blocos rochosos que formam a crosta terrestre;Partes da atmosfera;Movimentos do mar;Camadas de magma;A;Blocos rochosos que formam a crosta terrestre;Placas tectônicas são blocos rochosos que formam a crosta terrestre.
O que é latitude?;Distância horizontal na Terra;Distância vertical da Terra;Coordenadas em mapas;Linhas paralelas ao Equador;D;Linhas paralelas ao Equador;Latitude representa a distância em graus ao norte ou sul do Equador.
O que causa o movimento das placas tectônicas?;Correntes de ar;Erupções vulcânicas;Forças gravitacionais;Correntes de convecção do magma;D;Correntes de convecção do magma;Correntes de convecção do magma impulsionam o movimento das placas tectônicas.
Qual filósofo criou o conceito de ética teleológica?;Platão;Aristóteles;Kant;Hegel;B;Aristóteles;Aristóteles criou o conceito de ética teleológica; baseada no objetivo final das ações.
O que é dialética?;Método de diálogo filosófico;Estudo da lógica;Teoria política;Conceito religioso;A;Método de diálogo filosófico;Dialética é um método filosófico que busca a verdade por meio de diálogo e contradições.
Quem escreveu O Príncipe?;Rousseau;Platão;Maquiavel;Kant;C;Maquiavel;Maquiavel escreveu O Príncipe; obra sobre política e poder.
O que é o cogito ergo sum?;Ato de dúvida;Conhecimento prático;Expressão de Descartes;Estudo da razão;C;Expressão de Descartes;Cogito ergo sum (Penso, logo existo) é uma famosa expressão de Descartes.
Quem desenvolveu a teoria do super-homem?;Nietzsche;Marx;Sócrates;Comte;A;Nietzsche;Friedrich Nietzsche desenvolveu a teoria do super-homem.
O que é anomia, segundo Durkheim?;Ausência de regras;Ação econômica;Pensamento individualista;Organização social;A;Ausência de regras;Anomia é um estado de ausência ou enfraquecimento das normas sociais.
Quem escreveu A Ética Protestante e o Espírito do Capitalismo?;Marx;Durkheim;Weber;Comte;C;Weber;Max Weber escreveu a obra relacionando religião e capitalismo.
O que é mais-valia, segundo Marx?;Lucro do trabalhador;Exploração da força de trabalho;Imposto governamental;Acúmulo de bens;B;Exploração da força de trabalho;Mais-valia é a exploração da força de trabalho, base do lucro no capitalismo.
Qual é o conceito de fato social?;Ações individuais;Ações coletivas e coercitivas;Normas jurídicas;Valores morais;B;Ações coletivas e coercitivas;Fato social é coercitivo e coletivo; influenciando o comportamento individual.
Quem é o autor da Teoria da Ação Social?;Durkheim;Marx;Comte;Weber;D;Weber;Max Weber é o autor da teoria da ação social.
