Perguntas,Alternativa A,Alternativa B,Alternativa C,Alternativa D,Resposta Correta,Resposta Escrita,Explicação
"Quanto é 7 + 5?",10,12,13,15,B,"12","Somamos 7 e 5: 7 + 5 = 12."
"Quanto é 9 x 3?",27,30,21,36,A,"27","Multiplicamos 9 por 3: 9 x 3 = 27."
"Qual é o valor de 2²?",2,4,6,8,B,"4","2² significa 2 elevado a 2: 2 x 2 = 4."
"Se 6 + x = 10, qual é o valor de x?",2,3,4,5,C,"4","Subtraímos 6 dos dois lados: x = 10 - 6 = 4."
"Quanto é 15 dividido por 3?",3,4,5,6,C,"5","Dividimos 15 por 3: 15 ÷ 3 = 5."
"Quanto é 5²?",15,20,25,30,C,"25","5² significa 5 x 5 = 25."
"Qual é a raiz quadrada de 16?",2,4,6,8,B,"4","A raiz quadrada de 16 é 4, pois 4 x 4 = 16."
"Se x + 3 = 7, qual é x?",2,3,4,5,C,"4","Subtraímos 3: x = 7 - 3 = 4."
"Quanto é 4 x 6?",18,20,24,28,C,"24","Multiplicamos 4 por 6: 4 x 6 = 24."
"Quanto é 100 dividido por 4?",20,25,30,35,B,"25","Dividimos 100 por 4: 100 ÷ 4 = 25."
