Quem foi o líder na independência do Brasil em 1822?;Dom João VI;Dom Pedro I;José Bonifácio;Tiradentes;B;Dom Pedro I;Dom Pedro I proclamou a independência do Brasil no dia 7 de setembro de 1822.
Qual foi o marco inicial da Idade Moderna?;Revolução Francesa;Queda de Constantinopla;Renascimento;Revolução Industrial;B;Queda de Constantinopla;A queda de Constantinopla, em 1453, marcou o início da Idade Moderna.
Quem foi o presidente do Brasil durante o Estado Novo?;Juscelino Kubitschek;Getúlio Vargas;Tancredo Neves;Deodoro da Fonseca;B;Getúlio Vargas;Getúlio Vargas governou durante o período conhecido como Estado Novo (1937-1945).
Qual guerra é conhecida como a Primeira Guerra Mundial?;Guerra dos Cem Anos;Guerra da Sucessão Espanhola;Guerra de 1914-1918;Guerra Civil Americana;C;Guerra de 1914-1918;A Primeira Guerra Mundial ocorreu entre 1914 e 1918.
Qual movimento aboliu a escravidão no Brasil?;Revolta da Armada;Lei Áurea;Inconfidência Mineira;Guerra do Paraguai;B;Lei Áurea;A Lei Áurea, assinada em 1888, aboliu a escravidão no Brasil.
Qual é o maior deserto do mundo?;Saara;Antártida;Atacama;Gobi;B;Antártida;O maior deserto do mundo é a Antártida, considerando deserto frio.
O Brasil é banhado por qual oceano?;Atlântico;Índico;Pacífico;Ártico;A;Atlântico;O Brasil é banhado pelo Oceano Atlântico.
Qual país tem o maior número de habitantes do mundo?;Índia;Estados Unidos;Rússia;China;D;China;A China possui a maior população do mundo.
Qual é a capital da Argentina?;Santiago;Lima;Buenos Aires;Caracas;C;BuenosAires;Buenos Aires é a capital da Argentina.
Qual linha imaginária divide a Terra em hemisférios norte e sul?;Meridiano de Greenwich;Trópico de Câncer;Equador;Trópico de Capricórnio;C;Equador;A linha do Equador divide o planeta em hemisférios norte e sul.
Quem foi Sócrates?;Cientista;Filósofo grego;Poeta romano;Imperador romano;B;Filósofo grego;Sócrates foi um filósofo grego; precursor da filosofia ocidental.
O que é ética?;Estudo do comportamento humano;Estudo das leis;Estudo da biologia;Estudo da física;A;Estudo do comportamento humano;Ética é o estudo do comportamento humano e moralidade.
Qual filósofo escreveu A República?;Aristóteles;Platão;Descartes;Sócrates;B;Platão;Platão escreveu A República; uma obra sobre justiça e política.
Quem foi o aluno mais famoso de Sócrates?;Epicuro;Aristóteles;Platão;Demócrito;C;Platão;Platão foi aluno de Sócrates e fundador da Academia em Atenas.
O que caracteriza o método socrático?;Imposição de ideias;Diálogo e questionamento;Ensino prático;Escrita filosófica;B;Diálogo e questionamento;O método socrático é baseado em diálogo e questionamento.
O que é a sociologia?;Estudo da mente humana;Estudo da sociedade;Estudo de animais;Estudo da física social;B;Estudo da sociedade;Sociologia é o estudo científico da sociedade; suas estruturas e processos.
Quem é considerado o pai da sociologia?;Max Weber;Karl Marx;Émile Durkheim;Auguste Comte;D;Auguste Comte;Auguste Comte é considerado o pai da sociologia.
O que é um fato social, segundo Durkheim?;Fenômeno natural;Algo imposto pela sociedade;Sentimentos individuais;Ação política;B;Algo imposto pela sociedade,Um fato social é imposto pela sociedade e afeta os indivíduos.
Qual conceito é central na teoria de Karl Marx?;Burocracia;Luta de classes;Individualismo;Capitalismo;B;Luta de classes;A luta de classes é o conceito central no pensamento marxista.
Qual é o objeto de estudo da sociologia?;A natureza;As instituições humanas;O mercado;A física;B;As instituições humanas;O objeto de estudo da sociologia são as instituições humanas e a sociedade.
