Perguntas,Alternativa A,Alternativa B,Alternativa C,Alternativa D,Resposta Correta,Resposta manuscrita
"O que é um substantivo?",Verbo,Adjetivo,Nome de seres e objetos,Pronome,C,"Substantivos são palavras que nomeiam seres, objetos, lugares ou sentimentos."
"Qual é a palavra corretamente acentuada?",Heroi,País,Caotico,Parabens,B,"A palavra 'País' é corretamente acentuada por ser um hiato."
"O que indica um verbo no futuro do presente?",Ação concluída,Ação no passado,Ação no futuro,Ação no presente,C,"O verbo no futuro do presente indica uma ação que ainda vai acontecer."
"Qual é o antônimo de 'alegria'?",Tristeza,Felicidade,Prazer,Animação,A,"Tristeza é o oposto de alegria, representando um sentimento negativo."
"Qual é a função do ponto de interrogação?",Indicar dúvida,Indicar surpresa,Finalizar frase,Indicar pausa,A,"O ponto de interrogação indica uma dúvida ou questionamento."
"Qual das palavras é um advérbio?",Rapidamente,Feliz,Brincalhão,Amigo,A,"Advérbios, como 'rapidamente', modificam verbos, adjetivos ou outros advérbios."
"O que é uma oração?",Uma frase curta,Conjunto de palavras com sentido,Uma frase com verbo,Palavra isolada,C,"Uma oração é formada por um verbo ou locução verbal, transmitindo uma ideia."
"Qual frase apresenta um erro de concordância?",Os menino brinca,Os meninos brincam,As crianças correm,Ele estuda,A,"A frase correta seria 'Os meninos brincam', concordando o sujeito com o verbo."
"Qual é a classe gramatical de 'correr'?",Adjetivo,Substantivo,Verbo,Pronome,C,"'Correr' é um verbo, pois indica uma ação."
"O que é um sinônimo de 'feliz'?",Triste,Contente,Nervoso,Lento,B,"'Contente' é um sinônimo de 'feliz', indicando satisfação."
